criteria.offerCode;criteria.productId;depositId;review.irregularities;review.downgradedReason
3055;K5;0237102220230526002704;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0237102220230526002697;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230526002698;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230530002708;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230530002711;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0058096820230530000040;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230530002710;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230531002717;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230531001461;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G2;0023633020230531002008;3055_G2_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230602002738;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230601002728;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230602002732;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230605002743;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230607002761;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230607002760;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0014495720230607000389;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230607002758;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230607002757;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230608002765;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230608001486;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230609002775;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230609002774;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230609002772;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
